Distance apex m;VD kg/m3;Single leaf mass kg;Single leaf density Kg/m;Fl. rig. N m2;Radius m;Rad speed m/day
0,8680;1070,4;0,00107533333333333;0,00796543209876541;0,0138258317396735;0,001530;0,0000272000
0,7330;1060,63091;0,000509666666666667;0,00364047619047619;0,00827522057399347;0,001350;0,0000327857
0,5930;1050,5;0,000337666666666667;0,0024828431372549;0,00424470752296067;0,001125;0,0000135000
0,4570;1047,60078;0,0000953333333333333;0,000781420765027322;0,00295217216937005;0,001035;0,0000217377
0,3350;1045;0,0000356666666666667;0,000315634218289086;0,00166200662912675;0,000905;0,0000189558
0,2220;1038,84123;0,000029;0,000295918367346939;0,00107628738858016;0,000800;0,0000083265
0,1240;1033,5;0;0;0,000833300018592747;0,000760;0,0000437143
0,0610;1041,1;0,0000000333333333333333;0,0000009009009009009;0,000404350282251245;0,000625;0,0000578919
0,0240;1045,56349;0;0;0,000200633015139082;0,000520;0,0000072857
